id,user_id,spot_id,vehical No,cost,check_in,check_out,status
1,1,2,1,4561,10.00,2025-07-02 23:50:40.148000,2025-07-02 23:54:39.725261,completed
2,2,2,1,12634,10.00,2025-07-02 23:55:05.831000,2025-07-02 23:55:56.143126,completed
3,3,2,1,4564,20.00,2025-07-02 23:59:00,2025-07-03 01:01:00,cancelled
4,4,2,1,12634,10.00,2025-07-03 00:51:00,,cancelled
5,5,2,1,12634,10.00,2025-07-03 00:58:25.943000,2025-07-03 01:02:44.605167,completed
6,6,2,2,2525,10.00,2025-07-03 01:00:00,,cancelled
7,7,2,1,4564,250.00,2025-07-03 01:02:58.559000,2025-07-04 01:27:09.473520,completed
8,8,2,2,1234,10.00,2025-07-03 01:10:00,,cancelled
9,9,2,2,2525,10.00,2025-07-03 01:45:00,2025-07-03 01:46:55.806770,completed
10,10,2,3,1234,10.00,2025-07-03 01:41:15.350000,2025-07-03 01:46:59.403700,completed
11,11,2,4,1234,10.00,2025-07-03 01:41:30.389000,2025-07-03 01:46:00,active
12,12,2,2,4564,10.00,2025-07-03 14:15:16.240000,2025-07-03 14:20:00,active
13,13,2,3,1234,10.00,2025-07-03 14:21:00,,cancelled
14,14,2,3,4564,10.00,2025-07-03 14:28:00,,cancelled
15,15,2,3,2525,10.00,2025-07-03 14:25:00,,cancelled
16,16,2,3,4564,10.00,2025-07-03 14:33:00,,cancelled
17,17,2,3,4564,110.00,2025-07-03 14:30:53.553000,2025-07-04 01:26:14.523076,completed
18,18,2,5,1234,10.00,2025-07-03 14:33:57.609000,2025-07-03 14:37:00,active
19,19,2,6,4564,70.00,2025-07-03 14:34:27.020000,2025-07-03 20:55:55.772015,completed
20,20,2,7,4564,10.00,2025-07-03 14:38:09.760000,2025-07-03 14:48:29.211138,completed
21,21,2,8,4564,10.00,2025-07-03 14:48:00.916000,2025-07-03 14:48:36.694740,completed
22,22,2,21,4564,20.00,2025-07-04 01:26:27.199000,2025-07-04 01:30:01.604485,completed
23,23,2,11,2525,15.00,2025-07-04 01:26:52.052000,2025-07-04 01:29:56.648679,completed
24,24,2,21,4564,0.00,2025-07-04 01:55:00,,cancelled
25,25,2,11,1234,0.00,2025-07-04 01:56:00,,cancelled
26,26,3,11,2525,15.00,2025-07-04 01:00:00,2025-07-04 01:03:00,active
