Sr No,Reservation ID,User ID,Spot ID,Vehicle No,Cost,Check-in,Check-out,Status
1,1,2,1,4561,10.0,2025-07-02 23:50:40,2025-07-02 23:54:39,completed
2,2,2,1,12634,10.0,2025-07-02 23:55:05,2025-07-02 23:55:56,completed
3,3,2,1,4564,20.0,2025-07-02 23:59:00,2025-07-03 01:01:00,cancelled
4,4,2,1,12634,10.0,2025-07-03 00:51:00,,cancelled
5,5,2,1,12634,10.0,2025-07-03 00:58:25,2025-07-03 01:02:44,completed
6,6,2,2,2525,10.0,2025-07-03 01:00:00,,cancelled
7,7,2,1,4564,250.0,2025-07-03 01:02:58,2025-07-04 01:27:09,completed
8,8,2,2,1234,10.0,2025-07-03 01:10:00,,cancelled
9,9,2,2,2525,10.0,2025-07-03 01:45:00,2025-07-03 01:46:55,completed
10,10,2,3,1234,10.0,2025-07-03 01:41:15,2025-07-03 01:46:59,completed
11,11,2,4,1234,10.0,2025-07-03 01:41:30,2025-07-03 01:46:00,active
12,12,2,2,4564,2480.0,2025-07-03 14:15:16,2025-07-13 22:09:37,completed
13,13,2,3,1234,10.0,2025-07-03 14:21:00,,cancelled
14,14,2,3,4564,10.0,2025-07-03 14:28:00,,cancelled
15,15,2,3,2525,10.0,2025-07-03 14:25:00,,cancelled
16,16,2,3,4564,10.0,2025-07-03 14:33:00,,cancelled
17,17,2,3,4564,110.0,2025-07-03 14:30:53,2025-07-04 01:26:14,completed
18,18,2,5,1234,10.0,2025-07-03 14:33:57,2025-07-03 14:37:00,active
19,19,2,6,4564,70.0,2025-07-03 14:34:27,2025-07-03 20:55:55,completed
20,20,2,7,4564,10.0,2025-07-03 14:38:09,2025-07-03 14:48:29,completed
21,21,2,8,4564,10.0,2025-07-03 14:48:00,2025-07-03 14:48:36,completed
22,22,2,21,4564,20.0,2025-07-04 01:26:27,2025-07-04 01:30:01,completed
23,23,2,11,2525,15.0,2025-07-04 01:26:52,2025-07-04 01:29:56,completed
24,24,2,21,4564,0.0,2025-07-04 01:55:00,,cancelled
25,25,2,11,1234,0.0,2025-07-04 01:56:00,,cancelled
26,26,3,11,2525,15.0,2025-07-04 01:00:00,2025-07-04 01:03:00,active
27,27,2,1,4564,0.0,2025-07-22 09:30:00,,cancelled
28,28,2,41,4564,15.0,2025-07-21 22:15:47,2025-07-21 22:59:25,completed
29,29,2,42,4564,15.0,2025-07-21 22:19:08,2025-07-21 22:59:01,completed
30,30,2,21,4564,20.0,2025-07-21 22:57:39,2025-07-21 23:34:25,completed
31,31,2,43,2525,0.0,2025-07-21 23:01:00,,cancelled
32,32,2,22,4564,20.0,2025-07-21 23:23:11,2025-07-21 23:32:30,completed
33,33,2,41,4564,15.0,2025-07-21 23:31:22,2025-07-21 23:31:35,completed
34,34,2,21,4564,20.0,2025-07-23 14:53:00,2025-07-23 14:53:03,completed
35,35,2,21,4564,20.0,2025-07-23 14:53:42,2025-07-23 15:06:02,completed
36,36,2,21,4564,20.0,2025-07-23 14:53:42,2025-07-23 14:59:58,completed
37,37,2,21,4564,20.0,2025-07-23 14:53:42,2025-07-23 15:06:36,completed
38,38,2,21,4564,180.0,2025-07-23 14:53:42,2025-07-23 23:16:53,completed
39,39,2,21,4564,20.0,2025-07-23 14:53:42,2025-07-23 14:59:00,active
40,40,2,41,4564,0.0,2025-07-24 03:40:00,,cancelled
41,41,2,21,2525,20.0,2025-07-23 23:17:12,2025-07-23 23:17:34,completed
42,42,2,41,2525,15.0,2025-07-23 23:25:44,2025-07-23 23:39:07,completed
43,43,2,1,4564,10.0,2025-07-23 23:38:15,2025-07-23 23:38:25,completed
44,44,2,21,4564,20.0,2025-07-23 23:42:49,2025-07-23 23:42:57,completed
45,45,2,1,4564,10.0,2025-07-23 23:46:45,2025-07-23 23:54:06,completed
46,46,2,21,4564,20.0,2025-07-23 23:54:24,2025-07-23 23:54:38,completed
47,47,2,21,4564,20.0,2025-07-24 00:09:34,2025-07-24 00:09:52,completed
48,48,2,21,4564,260.0,2025-07-24 00:10:04,2025-07-24 12:42:00,active
49,49,2,22,4564,20.0,2025-07-24 00:12:19,2025-07-24 00:12:33,completed
50,50,2,41,4564,195.0,2025-07-24 00:15:06,2025-07-24 12:49:00,active
51,51,2,12,4564,0.0,2025-07-24 12:50:00,,cancelled
52,52,2,22,4564,280.0,2025-07-24 00:17:12,2025-07-24 13:19:59,completed
53,53,2,42,4564,15.0,2025-07-24 09:18:38,2025-07-24 09:18:51,completed
54,54,2,22,4564,0.0,2025-07-25 01:51:00,,cancelled
55,55,2,23,2525,0.0,2025-07-24 13:35:00,,cancelled
56,56,2,1,4564,10.0,2025-07-24 13:34:00,2025-07-24 13:38:00,active
57,57,2,22,2525,20.0,2025-07-24 13:38:41,2025-07-24 13:39:21,completed
58,58,2,12,4564,0.0,2025-07-24 13:41:00,,cancelled
